,mean_gs,mean_std_dvars,num_high_std_dvars_tps,max_std_dvars,mean_dvars,mean_fd,num_high_motion_tps,max_fd,local_dev_ratio,brainmask_var_component_ratio,gm_skin_1dil_var_component_ratio
2448,3251.908559728795,1.0231333438155137,0,1.4791729999999998,55.742725220125784,0.16859166845946083,1,0.55557425,0.9334939697420986,0.24335950373094842,1.2994471369439444
2449,4275.861759327351,1.0310777274633125,0,1.361,50.23787187631027,0.06531347090392785,0,0.35549341679834,0.9407929701422718,0.24190822975076595,1.4500168852635857
2450,4179.115231401372,1.050909639412998,0,1.364161,51.40717478616352,0.04584119172416364,0,0.17735313500000002,0.9782394389572812,0.2450048933711776,1.314560420865044
2451,4071.2242517789095,1.0522100922431865,0,1.336178,51.656635132075465,0.05805930357903564,0,0.23917642,0.963515220650236,0.25067162381717956,1.4353359451727823
2452,3963.524709859406,1.0428317610062894,0,1.251735,53.10629041719078,0.022097944480180928,0,0.18706114108240002,0.9736151244626435,0.2723731010387271,1.3367760866637037
2453,3057.377842604512,0.9982687106918241,20,2.778088,55.21820558909853,0.24661540892744402,37,3.962314,0.887865503638039,0.26661347315322176,1.3042423461978954
2454,3078.3740506224935,1.0182436226415095,10,2.293725,55.60045118238994,0.17224366107508482,18,1.7323727999999998,0.8915067591581171,0.24397911064758945,1.312113393742321
2455,3364.3397422784287,1.011103178197065,18,2.631159,52.55211274633124,0.17067244340251575,21,1.77941607,0.8857067310612308,0.2545399879012719,1.3228833278264436
2456,3317.298215670527,1.017425352201258,32,2.055383,58.0144546457023,0.253235955431696,55,2.16463185,0.8735236394079184,0.23814591130238635,1.3148115986796787
2457,3379.8202799923256,1.0375414444444444,0,1.1087719999999999,55.15896819916142,0.05982031118603581,0,0.23615484999999994,1.0187917210786872,0.17984749182846435,1.393966066993733
2458,3325.3500973809178,1.052070534591195,0,1.176591,54.631430838574424,0.06829414060087673,0,0.25239585000000003,0.9616933377175042,0.2162476606507306,1.2968686402805094
2459,3900.7635801138745,1.0300188071278826,0,1.2278209999999998,51.0538038490566,0.10723489434949895,0,0.4789768000000001,0.9742912152910183,0.23696499436514987,1.4954330322888445
2460,3870.476449486322,1.0607204528301888,0,1.299626,51.1295507672956,0.05571642871731564,0,0.32209501,0.9781680021917907,0.2674819177713186,1.4014146559800467
2461,3596.164401898708,1.019306786163522,5,1.962007,47.485265280922434,0.17346714716192263,10,1.1213178,0.9777205532722899,0.2061598845955382,1.3937822925515042
2462,3429.274198346029,1.0197852075471698,16,2.207278,52.52127584067086,0.17930255035555553,19,1.1301362,0.9928895735227155,0.2645520011005401,1.4232299495068215
2463,3676.3741594143876,1.0190007064989517,5,2.217661,49.94237280083858,0.20930326394476517,9,1.1454352100000005,1.0132034522627478,0.21356000801394384,1.4614727150677829
2464,3608.613580737949,1.0487648763102726,8,2.2263450000000002,54.56829557861636,0.12045385547815173,4,0.9762130168555296,0.9941215399592781,0.2641487360453827,1.5536556006194318
2465,2909.8399479554787,1.0190309203354297,0,1.2290660000000002,58.73081561425577,0.18687287251802934,3,0.5112382750000001,0.966553801811693,0.2549560650194167,1.357485229402955
2466,2837.195168837743,1.0213044109014675,0,1.107637,59.24272611111112,0.14403121838184865,0,0.41290150000000003,0.970046683682135,0.2768700929209765,1.2915803503782453
2467,3007.3567523299657,0.9990859517819707,0,1.341568,56.77928703354298,0.250923615112987,15,0.6343142984774099,0.962669964991674,0.2959866555599307,1.440451699772838
2468,3107.648117864392,0.9992825870020964,0,1.1563230000000002,54.51176429350105,0.1852033275345912,0,0.3959008,0.9816032267128671,0.2613418773647223,1.3574979478085838
2469,3638.4314177522892,1.0726075262054509,0,1.487222,50.99306425366876,0.12034395780977104,2,0.7595260999999999,0.9315786492689747,0.21655204666922573,1.3188482206702266
2470,3637.015581465548,1.0453922180293502,2,1.86211,51.406595310272536,0.13752726689856976,1,0.7240999541582339,0.929934287369618,0.2117176450637346,1.2697277955690904
2471,3432.948075877985,1.0618937295597486,2,1.7314470000000002,53.59225108595388,0.14704156389119052,6,0.6346145999999999,0.9641941585994172,0.2607264553552403,1.2909877369625777
2472,3374.692767508659,1.0539741656184487,0,1.317375,55.28725491614255,0.15272204316272778,0,0.40477498700000003,0.917460808702251,0.26117552157898194,1.2655219186090263
2473,2997.912122356338,1.0228814444444445,0,1.360323,47.352998389937106,0.06545927210104822,0,0.313026727,0.9716396132327951,0.2892175141451906,1.1551852632378412
2474,3134.8945057795368,1.0159573752620545,6,1.9721119999999999,47.11945286163522,0.06526309100587002,6,1.05846155,0.9897231702243905,0.2460283123162069,1.091342853059627
2475,3252.0430740420074,0.9973952725366876,9,2.792497,45.71337827463313,0.11461795197106919,8,1.80386889,1.0046675200644333,0.3002802874673916,1.2291768999692323
2476,3363.4939587819995,1.0349897631027254,15,2.452527,44.939130645702306,0.07211242853038355,7,1.037079378,0.9813390653524723,0.25450422848803456,1.1629947206489957
2477,4160.535709770278,1.0581298700209643,0,1.216551,51.36127024109014,0.1512570342559131,0,0.33157476615958903,0.8358713975231405,0.23619244343590148,1.385956366671818
2478,4053.055027901648,1.063303890985325,0,1.34325,54.222032312368974,0.013073980423188889,0,0.12047268,0.7832123778081846,0.26371171570148505,1.3325720385420619
2479,4022.027608986193,1.0646427756813417,0,1.2261389999999999,49.56288157442349,0.10458489506480234,0,0.24033800872999994,0.8628416643487298,0.2652515231315494,1.37776895939938
2480,3949.2535986571543,1.058890719077568,0,1.175318,51.03801534591195,0.03901974487687709,0,0.14384089858,0.8526703446074941,0.2712449083895219,1.3020960789922742
2481,3080.892582083514,0.993412318658281,0,1.21393,53.84926875052412,0.22048493007547168,13,0.6518746,0.9954431223359006,0.2336301751532898,1.1214959637084683
2482,3058.3581508726033,1.0027646582809224,4,2.907394,55.83039409224318,0.26622855527747,28,4.7136371,1.0012434995039128,0.2774281676724482,1.2013390947928029
2483,3106.1266875578735,1.007558825995807,1,1.5171290000000002,52.42972966457023,0.21443370610691825,15,0.6537039999999996,0.9518658439196481,0.30143663209149874,1.1763555896416955
2484,3191.3456209529636,1.0159687295597484,6,2.002004,52.17486424947589,0.24176292124109014,21,2.991906,0.9618712384535297,0.277630054558263,1.2521384072045125
2485,3367.0950588209566,1.0480123249475892,0,1.328532,54.15044355345913,0.11045832096226416,0,0.4468675999999999,0.8707650463556372,0.22836838579149676,1.4172458109937065
